id,source,name,brand,img-src,latest-price,retail-price,sale,available
No.00905037,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-15-v3530-i7-1355u,"Laptop Dell Vostro 15 V3530 i7 1355U/16GB/512GB/15.6""FHD/MX550/Win11/Office HS21",Dell,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_11_2_638345222318836078_dell-vostro-15-v3530-xam-5.jpg,0,0,0,False
No.00901952,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-1-15alc7-r5-5500u,"Laptop Lenovo IdeaPad 1 15ALC7 R5 5500U/16GB/512GB/15.6"" FHD/Win11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_9_14_638302841092557960_lenovo-ideapad-1-15alc7-r5-5500u-xam-3.jpg,10.790.000,12.790.000,16,True
No.00898315,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-gaming-3-15arh7-r5-6600h-ram-16gb,"Laptop Lenovo Ideapad Gaming 3 15ARH7 R5 6600H/16GB/512GB/15.6""FHD/RTX3050_4GB/Win11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2022_8_15_637961553976582226_lenovo-ideapad-gaming-3-15arh7-r7-xam-1.jpg,19.990.000,0,0,False
No.00892851,https://fptshop.com.vn/may-tinh-xach-tay/lg-gram-14z90r-gah53a5-i5-1340p,"Laptop LG Gram 14Z90R-G.AH53A5 i5 1340P/16GB/256GB/14""WUXGA/Win11",Lg,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_8_3_638266810727026579_lg-gram-14z90r-gah53a5-i5-1340p-xam-4.jpg,0,0,0,False
No.00905265,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-2023-m3-8-cpu-10-gpu-8gb-1tb,MacBook Pro 14 2023 M3 8 CPU/10 GPU/8GB/1TB,Macbook,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_11_1_638344441870104175_macbook-pro-14-2023-m3-8-cpu-10-gpu-xam%20(1).jpg,38.990.000,44.990.000,13,True
No.00905251,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-16-2023-m3-pro-12-cpu-18-gpu-18gb-512gb,MacBook Pro 16 2023 M3 Pro 12 CPU/18 GPU/18GB/512GB,Macbook,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_11_1_638344453377058427_macbook-pro-16-2023-m3-pro-max-den%20(1).jpg,59.990.000,64.990.000,8,True
No.00905263,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-2023-m3-8-cpu-10-gpu-8gb-512gb,MacBook Pro 14 2023 M3 8 CPU/10 GPU/8GB/512GB,Macbook,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_11_1_638344441870104175_macbook-pro-14-2023-m3-8-cpu-10-gpu-xam%20(1).jpg,36.490.000,39.990.000,9,True
No.00906458,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5230tu-i3-1215u,"Laptop HP 15s-fq5230TU i3 1215U/8GB/256GB/15.6""FHD/Win11",Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_8_28_638288273850727579_hp-15s-fq5230tu-i3-1215u-xanh-2.jpg,9.490.000,11.990.000,21,False
No.00905154,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-16iah8-i5-12450h-1tb,"Laptop Lenovo IdeaPad Slim 5 16IAH8 i5-12450H/16GB/1TB/16"" WUXGA/Win11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_7_3_638239973446612264_lenovo-ideapad-slim-5-16iah8-xam-1.jpg,0,0,0,False
No.00895027,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m3504ya-l128w-r5-7530u,Laptop Asus Vivobook M3504YA-L1268W R5 7530U/16GB/512GB/15.6'OLED/Win11,Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_8_14_638276303116404033_asus-vivobook-m3504ya-den-5.jpg,13.990.000,18.990.000,26,False
